timestamp,domain,success,rtt_ms,ips
2025-10-24T06:02:11,tenant-internet.com,0,25.488,
2025-10-24T06:02:11,gadanguides.com,1,356.199,2a02:250:0:8::53;93.188.2.51
2025-10-24T06:02:11,charityjob.co.uk,1,25.478,104.24.144.14;104.24.145.14;172.67.64.72;2606:4700:20::6818:900e;2606:4700:20::6818:910e;2606:4700:20::ac43:4048
2025-10-24T06:02:11,sarahpartridge.net,0,27.343,
2025-10-24T06:02:11,ecolems.com,1,23.096,51.103.54.68
2025-10-24T06:02:11,marilynlingerie.com,0,28.653,
2025-10-24T06:02:12,anvilnetworksolutions.net,1,336.080,2001:8d8:100f:f000::200;217.160.0.13
2025-10-24T06:02:12,cdmail.fr,1,434.725,5.196.212.149
2025-10-24T06:02:12,freeditorial.com,1,20.659,51.178.246.100
2025-10-24T06:02:12,ciber.com,1,44.839,103.247.209.15
2025-10-24T06:02:12,get-webby.com,0,83.076,
2025-10-24T06:02:12,gadgetgearpro.com,0,30.609,
2025-10-24T06:02:12,sonoma-marinfair.org,1,23.504,104.21.34.187;172.67.163.188;2606:4700:3030::6815:22bb;2606:4700:3035::ac43:a3bc
2025-10-24T06:02:13,ishidatic.com,1,275.929,15.197.172.60
2025-10-24T06:02:13,minecraftserverdeals.com,1,27.614,104.21.1.113;172.67.129.48;2606:4700:3034::6815:171;2606:4700:3034::ac43:8130
2025-10-24T06:02:13,romney.com,1,249.984,208.91.197.27
2025-10-24T06:02:13,bookingnest.com,1,85.113,13.248.169.48;76.223.54.146
2025-10-24T06:02:13,metar.gr,1,197.019,75.119.133.58
2025-10-24T06:02:14,bigliettieventi.info,0,143.574,
2025-10-24T06:02:14,asseenontvlaunchpad.com,0,28.531,
2025-10-24T06:02:14,ftf.com,1,45.939,23.227.38.65
2025-10-24T06:02:14,polymth.com,1,25.373,104.21.57.169;172.67.147.218;2606:4700:3030::ac43:93da;2606:4700:3036::6815:39a9
2025-10-24T06:02:14,crsgfk.de,0,87.381,
2025-10-24T06:02:14,urbannetwork.co.uk,1,80.601,85.92.70.198
2025-10-24T06:02:14,synrc.com,1,27.696,104.21.40.117;172.67.185.234;2606:4700:3033::ac43:b9ea;2606:4700:3036::6815:2875
2025-10-24T06:02:14,callcomm.info,0,144.302,
2025-10-24T06:02:14,ceskykutil.cz,1,409.274,80.211.205.242
2025-10-24T06:02:15,ximangquantrieu.com,1,142.409,123.31.17.119
2025-10-24T06:02:15,shishioh.info,1,239.976,219.94.162.166
2025-10-24T06:02:15,vpndefender.com,1,26.357,34.234.125.61;54.224.56.57
2025-10-24T06:02:15,hutago.com,1,155.947,118.27.125.209
2025-10-24T06:02:15,tangkas888.com,1,27.246,104.21.7.113;172.67.130.50;2606:4700:3032::6815:771;2606:4700:3032::ac43:8232
2025-10-24T06:02:16,egov.sy,1,444.675,185.216.134.58
2025-10-24T06:02:16,abmcare.com,1,26.121,104.18.10.144;104.18.11.144;2606:4700::6812:a90;2606:4700::6812:b90
2025-10-24T06:02:16,iael.com,1,144.066,139.162.174.209;139.162.181.76;172.104.149.86;172.104.251.198;2a01:7e01::f03c:95ff:fe00:2692;2a01:7e01::f03c:95ff:fe91:5d91;2a01:7e01::f03c:95ff:feeb:9d4b;2a01:7e01::f03c:95ff:feed:783e
2025-10-24T06:02:16,sailor.pl,1,405.506,88.99.19.146
2025-10-24T06:02:16,skyhightmatter.info,0,92.398,
2025-10-24T06:02:16,autopareri.com,1,32.524,147.93.94.216
2025-10-24T06:02:17,cia.it,1,370.443,3.248.13.228;54.228.218.49
2025-10-24T06:02:17,texasbeyondhistory.net,1,681.455,146.6.162.220
2025-10-24T06:02:17,gardenofwords.com,1,28.493,192.0.78.24;192.0.78.25
2025-10-24T06:02:18,giuseppelivraghi.it,1,359.325,89.46.108.54
2025-10-24T06:02:18,hdcric.com,1,389.638,159.69.186.9;159.69.42.212;159.69.83.207;95.216.161.60
2025-10-24T06:02:19,chekiang.info,0,252.794,
2025-10-24T06:02:19,archiportale.com,1,28.270,104.18.12.154;104.18.13.154;2606:4700::6812:c9a;2606:4700::6812:d9a
2025-10-24T06:02:19,de.vu,1,20.851,81.28.232.69
2025-10-24T06:02:19,teachmyass.info,1,303.504,103.224.182.212
2025-10-24T06:02:19,nasaspaceflight.com,1,22.417,172.66.40.183;172.66.43.73
2025-10-24T06:02:19,consumerreviews24.com,0,24.578,
2025-10-24T06:02:19,dilw.ie,1,79.308,35.214.43.230
2025-10-24T06:02:19,bbqinjector.com,0,25.187,
2025-10-24T06:02:19,gxjbsj.com,1,115.953,172.247.103.2
2025-10-24T06:02:20,fmnara.com,1,315.982,49.247.215.98
2025-10-24T06:02:20,pet-connect.ru,1,482.623,194.58.112.174
2025-10-24T06:02:20,synchchaos.com,1,288.621,203.161.61.102
2025-10-24T06:02:21,uca.edu,1,279.837,161.31.3.35
2025-10-24T06:02:21,oaister.org,1,85.500,132.174.1.212
2025-10-24T06:02:22,chenghuavideo.asia,0,1290.625,
2025-10-24T06:02:22,video-peche-poisson.fr,0,83.498,
2025-10-24T06:02:22,currencyrates.org,1,115.564,104.21.23.70;172.67.209.125;2606:4700:3030::6815:1746;2606:4700:3035::ac43:d17d
2025-10-24T06:02:23,zpav.pl,1,413.512,83.238.107.112
2025-10-24T06:02:23,tawali.com,1,84.590,173.249.147.46
2025-10-24T06:02:23,dock2office.com,0,25.757,
2025-10-24T06:02:23,vlielandoutdoorcenter.nl,1,370.869,185.232.249.41
2025-10-24T06:02:23,gregginn.com,1,84.182,15.197.148.33;3.33.130.190
2025-10-24T06:02:24,arcoat.com,1,375.681,66.39.19.55
2025-10-24T06:02:24,cushinglawoffices.com,0,26.657,
2025-10-24T06:02:24,eggcityradio.com,1,271.841,103.224.182.253
2025-10-24T06:02:24,michaelbyers.org,1,142.159,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145
2025-10-24T06:02:25,stkpro.ru,1,720.121,205.251.138.125
2025-10-24T06:02:26,silveropt.ru,0,811.076,
2025-10-24T06:02:26,topbarbee.com,1,27.507,159.203.135.249
2025-10-24T06:02:26,teleskill.it,1,21.912,185.81.4.109
2025-10-24T06:02:26,virtualjerusalem.com,1,18.484,69.48.168.47
2025-10-24T06:02:26,morban.co.uk,1,281.269,2001:8d8:100f:f000::2a2;217.160.0.111
2025-10-24T06:02:26,mechachal.org,0,154.115,
2025-10-24T06:02:27,noblewomanhood.com,1,316.166,74.208.236.114
2025-10-24T06:02:27,cosmeticaestheticsurgery.com,1,145.519,15.197.148.33;3.33.130.190
2025-10-24T06:02:29,note-so-easy.co.za,1,2086.598,102.211.204.40
2025-10-24T06:02:29,vietcapitaltour.com,0,26.004,
2025-10-24T06:02:29,ncees.org,1,24.557,104.20.28.40;172.66.158.97;2606:4700:10::6814:1c28;2606:4700:10::ac42:9e61
2025-10-24T06:02:29,laigang001.com,0,85.052,
2025-10-24T06:02:30,verlockeshop.de,1,376.891,185.64.112.230
2025-10-24T06:02:30,clickdownloadfiles.com,0,82.663,
2025-10-24T06:02:30,e-hps.com,1,23.930,208.44.185.221
2025-10-24T06:02:30,drglendza.co.rs,0,403.963,
2025-10-24T06:02:31,ghimpele.ro,1,495.681,89.35.160.167
2025-10-24T06:02:31,pahibu.net,0,82.960,
2025-10-24T06:02:31,trackcheatingspouse.com,0,26.225,
2025-10-24T06:02:31,dricom-hosting.nl,1,449.177,2a00:1ca8:15::53;46.249.36.223
2025-10-24T06:02:31,medipacademy.com,1,27.563,104.21.4.41;172.67.131.163;2606:4700:3037::6815:429;2606:4700:3037::ac43:83a3
2025-10-24T06:02:32,e-daily.gr,1,453.758,104.26.12.52;104.26.13.52;172.67.70.26;2606:4700:20::681a:c34;2606:4700:20::681a:d34;2606:4700:20::ac43:461a
2025-10-24T06:02:32,cuteteenschoolgirlz.com,0,29.805,
2025-10-24T06:02:32,hralda.info,0,86.786,
2025-10-24T06:02:32,sendrakhizonline.com,1,86.209,20.244.2.144
2025-10-24T06:02:32,hayalforum.net,0,31.701,
2025-10-24T06:02:33,begleyhutton.com,1,521.886,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145
2025-10-24T06:02:33,bmw-parts.ru,1,409.072,91.236.136.97
2025-10-24T06:02:33,rterc.in,1,31.093,147.79.69.71;2a02:4780:1f:93d1:c09a:f62d:6a99:11d9;2a02:4780:3d:7d64:42ee:4bb8:d329:dd79;91.108.106.175
2025-10-24T06:02:33,monitis.com,1,171.879,188.172.236.218
